model,category,prompt,trial,input_tokens,output_tokens,deltas_emitted,ttft_s,elapsed_s,tokens_per_sec,eval_ms_per_token,decode_ms_per_token,decode_p50_ms,decode_p95_ms,cost_usd,cost_per_million_tokens
qwen2.5:7b,recall,"List the first 40 prime numbers, one per line.",3,42,256,256,0.18797516822814941,6.190000057220459,43.22461336916804,23.134966910156248,23.529906366385667,23.53692054748535,24.246931076049805,0.001532048919828125,5.1411037578125
qwen2.5:7b,trivial,"List 40 random common English nouns, one per line.",2,42,206,205,0.18759393692016602,5.031752824783325,43.26039375653658,23.115832131067958,23.618088049047135,23.61893653869629,24.18994903564453,0.0012739391930010789,5.13685158468177
qwen2.5:7b,recall,"List the first 40 prime numbers, one per line.",0,42,256,256,0.18841338157653809,6.196176290512085,43.18963589509737,23.15370294921875,23.548160814771464,23.554086685180664,24.286985397338867,0.0015332896619704864,5.145267322048612
qwen2.5:7b,creative,"Write a 40-line poem about the changing seasons, one line per line.",0,46,247,246,0.18846988677978516,6.006364822387695,43.17728969936426,23.160323562753035,23.635763051558513,23.629188537597656,24.480819702148438,0.0015079944008636978,5.146738569500675
qwen2.5:7b,reasoning,"Solve step by step: a tank fills at 8 liters/min and drains at 3 liters/min. Starting empty, show the water level after each minute for 40 minutes, one line per minute.",1,72,256,256,0.26387596130371094,6.271842002868652,43.182879267663175,23.157325703124997,23.548172034469307,23.572921752929688,24.221181869506836,0.0016879117401388888,5.146072378472222
qwen2.5:7b,recall,"List the first 40 prime numbers, one per line.",4,42,155,154,0.18828415870666504,3.8160030841827393,43.333859225593606,23.07664301935484,23.554784799712934,23.566007614135742,24.144887924194336,0.001010244149958423,5.128142893189965
qwen2.5:7b,hard_structured,"List 40 English words that are palindromes, one per line.",1,46,256,256,0.18770813941955566,6.200438976287842,43.167330684899,23.16566681640625,23.57504975562002,23.580312728881836,24.40667152404785,0.0015546736396788194,5.147925959201389
qwen2.5:7b,hard_structured,"List 40 English words that are palindromes, one per line.",3,46,132,131,0.10645484924316406,3.1936628818511963,43.47927051665725,22.99946590909091,23.55047556070181,23.565053939819336,25.31886100769043,0.0009097566515151516,5.110992424242425
qwen2.5:7b,reasoning,"Solve step by step: a tank fills at 8 liters/min and drains at 3 liters/min. Starting empty, show the water level after each minute for 40 minutes, one line per minute.",0,72,256,256,0.2644178867340088,6.277445077896118,43.156919999118855,23.1712550390625,23.572168163224763,23.614883422851562,24.384737014770508,0.0016889270339583335,5.149167786458334
qwen2.5:7b,recall,"List the first 40 prime numbers, one per line.",1,42,256,256,0.19011688232421875,6.197271823883057,43.1835619485413,23.156959613281252,23.549749336990654,23.567914962768555,24.164199829101562,0.0015335053255017364,5.145991025173611
qwen2.5:7b,trivial,"List 40 random common English nouns, one per line.",4,42,205,204,0.1896970272064209,5.01049280166626,43.24174391943435,23.125801814634148,23.616000349298485,23.63276481628418,24.083852767944336,0.0012693495662699189,5.1390670699187
qwen2.5:7b,creative,"Write a 40-line poem about the changing seasons, one line per line.",1,46,196,195,0.19023799896240234,4.800112009048462,43.25298525649394,23.119791479591836,23.603493405371598,23.622989654541016,24.294137954711914,0.0012433310084580499,5.137731439909297
qwen2.5:7b,trivial,"List 40 random common English nouns, one per line.",3,42,206,205,0.18792414665222168,5.0329039096832275,43.245362204714716,23.123866907766992,23.61910717160094,23.64373207092285,24.190902709960938,0.001274381998472492,5.138637090614887
